NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9663)
2. ERR@10 (result: 0.9663) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_rankboost/model2_rankboost.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_rankboost/model2_rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
192     | 6        | 1.2523    | 0.0343    | 0.9412    | 0.916     | 
193     | 28       | 0.9       | 0.034     | 0.9412    | 0.916     | 
194     | 25       | 0.9       | 0.0335    | 0.9412    | 0.916     | 
195     | 24       | 0.9       | 0.0344    | 0.9412    | 0.916     | 
196     | 28       | 0.9       | 0.0335    | 0.9412    | 0.916     | 
197     | 25       | 0.9       | 0.0335    | 0.9412    | 0.916     | 
198     | 20       | 5.897     | 0.0333    | 0.9412    | 0.916     | 
199     | 28       | 0.9       | 0.0325    | 0.9412    | 0.916     | 
200     | 25       | 0.9       | 0.0325    | 0.9412    | 0.916     | 
201     | 24       | 0.9       | 0.0332    | 0.9412    | 0.916     | 
202     | 25       | 0.9       | 0.0325    | 0.9412    | 0.916     | 
203     | 20       | 5.897     | 0.0322    | 0.9412    | 0.916     | 
204     | 28       | 0.9       | 0.0322    | 0.9412    | 0.916     | 
205     | 25       | 0.9       | 0.0315    | 0.9412    | 0.916     | 
206     | 24       | 0.9       | 0.0316    | 0.9412    | 0.916     | 
207     | 28       | 0.9       | 0.0318    | 0.9412    | 0.916     | 
208     | 25       | 0.9       | 0.0315    | 0.9412    | 0.916     | 
209     | 20       | 5.897     | 0.0313    | 0.9412    | 0.916     | 
210     | 28       | 0.9       | 0.0309    | 0.9412    | 0.916     | 
211     | 14       | 0.9       | 0.0311    | 0.9412    | 0.916     | 
212     | 21       | 0.9       | 0.0308    | 0.9412    | 0.916     | 
213     | 1        | 3.7666    | 0.0316    | 0.9412    | 0.916     | 
214     | 25       | 0.9       | 0.0316    | 0.9412    | 0.916     | 
215     | 28       | 0.9       | 0.031     | 0.9412    | 0.916     | 
216     | 25       | 0.9       | 0.0307    | 0.9412    | 0.916     | 
217     | 28       | 0.9       | 0.0301    | 0.9412    | 0.916     | 
218     | 24       | 0.9       | 0.0306    | 0.9412    | 0.916     | 
219     | 25       | 0.9       | 0.0307    | 0.9412    | 0.916     | 
220     | 28       | 0.9       | 0.0298    | 0.9412    | 0.916     | 
221     | 20       | 5.897     | 0.0298    | 0.9412    | 0.916     | 
222     | 25       | 0.9       | 0.0298    | 0.9412    | 0.916     | 
223     | 6        | 3.7568    | 0.0296    | 0.9412    | 0.916     | 
224     | 24       | 0.9       | 0.0294    | 0.9412    | 0.916     | 
225     | 25       | 0.9       | 0.0298    | 0.9412    | 0.916     | 
226     | 28       | 0.9       | 0.0296    | 0.9412    | 0.916     | 
227     | 20       | 5.897     | 0.029     | 0.9412    | 0.916     | 
228     | 25       | 0.9       | 0.029     | 0.9412    | 0.916     | 
229     | 8        | 0.9       | 0.0288    | 0.9411    | 0.9168    | 
230     | 28       | 0.9       | 0.0288    | 0.9411    | 0.9168    | 
231     | 24       | 0.9       | 0.0284    | 0.9411    | 0.9168    | 
232     | 25       | 0.9       | 0.029     | 0.9411    | 0.9168    | 
233     | 15       | 0.9       | 0.0286    | 0.9411    | 0.9168    | 
234     | 28       | 0.9       | 0.0289    | 0.9411    | 0.9168    | 
235     | 20       | 5.897     | 0.0284    | 0.9411    | 0.9168    | 
236     | 25       | 0.9       | 0.0283    | 0.9411    | 0.9168    | 
237     | 28       | 0.9       | 0.0281    | 0.9411    | 0.9168    | 
238     | 24       | 0.9       | 0.0279    | 0.9411    | 0.9168    | 
239     | 25       | 0.9       | 0.0283    | 0.9411    | 0.9168    | 
240     | 28       | 0.9       | 0.0279    | 0.9411    | 0.9168    | 
241     | 20       | 5.897     | 0.0276    | 0.9411    | 0.9168    | 
242     | 25       | 0.9       | 0.0275    | 0.9411    | 0.9168    | 
243     | 28       | 0.9       | 0.0272    | 0.9411    | 0.9168    | 
244     | 21       | 0.9       | 0.0276    | 0.9411    | 0.9168    | 
245     | 25       | 0.9       | 0.0275    | 0.9411    | 0.9168    | 
246     | 17       | 1.5296    | 0.0271    | 0.9411    | 0.9168    | 
247     | 28       | 0.9       | 0.0271    | 0.9411    | 0.9168    | 
248     | 25       | 0.9       | 0.0269    | 0.9411    | 0.9168    | 
249     | 24       | 0.9       | 0.0274    | 0.9411    | 0.9168    | 
250     | 25       | 0.9       | 0.0269    | 0.9411    | 0.9168    | 
